country,iso3c,year,gini_mkt,gini_net,abs_red,abs_red_se,country_std,v2x_libdem,v2x_polyarchy,v2juncind,v2x_rule,v2cacamps,gdppc,log_gdppc,gdp_growth,gdp_growth_lag1,gdp_innovation,secular_erosion,country_name
Argentina,ARG,1990,49.18188734683261,42.71574725002804,6.016576267707197,1.2,Argentina,0.5793445239321899,0.6189783600601905,0.552785643621028,0.4658809200936865,0.7038570916343312,10235.568710995836,9.233624061866383,,,,False,Argentina
Argentina,ARG,1991,48.80118957749342,44.03053762005003,5.354051618763278,1.2,Argentina,0.5896539748459116,0.614376589282036,0.5324617291805492,0.5051521927671367,0.29805220863944315,11033.180786826517,9.308662446634079,7.503838476769609,,,False,Argentina
Argentina,ARG,1992,48.717840935349635,43.31639203555471,5.577753503105305,1.2,Argentina,0.5820330294356907,0.576339368722239,0.5150675300072498,0.4975236144156618,0.36005046590097833,11119.512102700863,9.31645669118561,0.7794244551531548,7.503838476769609,-2.184455860889491,False,Argentina
Argentina,ARG,1993,48.97273872111221,43.23032296917865,5.763510528004507,1.2,Argentina,0.580005279588566,0.5920294145671483,0.49312765530703856,0.44708086858753626,0.20888272400516372,10978.791823055302,9.303720674679182,-1.2736016506428527,0.7794244551531548,-2.997324694150838,False,Argentina
Argentina,ARG,1994,48.84504677735175,43.67507911942652,5.507845691370844,1.2,Argentina,0.5659543574293036,0.5376244047277142,0.5340613581253437,0.47465936419602023,0.8503480011198954,11385.612339582543,9.340105761819391,3.638508714020894,-1.2736016506428527,2.2934172133688007,False,Argentina
Argentina,ARG,1995,48.75407382136875,42.69841679404464,6.3238532918349755,1.2,Argentina,0.586222071440434,0.5634454090848187,0.5483821000447959,0.4967734749936597,0.21574067917645412,11664.537239810279,9.364308512842243,2.4202751022851743,3.638508714020894,0.16926237598459704,False,Argentina
Argentina,ARG,1996,49.15197494625708,41.98747134038373,6.750168026460826,1.2,Argentina,0.5897094133137686,0.6217544778259068,0.5158983492692389,0.49289373123993035,0.6516397604772766,12090.167780425472,9.400147821132517,3.5839308290274374,2.4202751022851743,1.5575921439717275,False,Argentina
Argentina,ARG,1997,48.82690108858674,43.34305280089994,5.719711003121484,1.2,Argentina,0.571303369187253,0.5938120648755484,0.49038479441118116,0.5184613228742843,0.7132068832826177,12442.156547620181,9.42884570718679,2.8697886054272814,3.5839308290274374,0.628841464139259,False,Argentina
Argentina,ARG,1998,48.76764698154598,42.484776438665754,6.391434250815978,1.2,Argentina,0.5819229297814189,0.5789584722295835,0.5061609800723156,0.466383775045786,0.058091952080349785,12781.98883117683,9.455792336416764,2.6946629229973595,2.8697886054272814,0.585422227709655,False,Argentina
Argentina,ARG,1999,49.32975746666435,43.0367508622046,6.089008396517467,1.2,Argentina,0.5804091917539572,0.5603654426383278,0.5371847594869641,0.4830835416614319,0.014693388654953843,12223.812589216283,9.411141179909217,-4.4651156507546474,2.6946629229973595,-6.542058604116454,False,Argentina
Argentina,ARG,2000,48.6907848904203,42.71742373998731,6.296660085478145,1.2,Argentina,0.5647468090976654,0.5420704971959277,0.5039114106239345,0.42725861772781754,0.4042897472548691,12202.012387277415,9.409356166895467,-0.1785013013750003,-4.4651156507546474,-0.934994407444098,False,Argentina
Argentina,ARG,2001,48.8109752469233,42.86080729634961,5.927761728822734,1.2,Argentina,0.6041261542161291,0.6198182399740896,0.5433283311998284,0.5082494144995444,0.9634992408875883,12229.958076181583,9.411643800726168,0.22876338307007416,-0.1785013013750003,-1.3182931747504214,False,Argentina
Argentina,ARG,2002,48.63498447448408,42.815622769940475,6.352802621887054,1.2,Argentina,0.6001790796383324,0.6045054172697024,0.5612334196593723,0.4956829615151768,0.7729214818761151,12346.8895597567,9.421159452825115,0.9515652098947669,0.22876338307007416,-0.6706015744283618,False,Argentina
Argentina,ARG,2003,48.864584664710684,41.69816280840767,7.316240719975738,1.2,Argentina,0.5843847573880973,0.584777090541977,0.539403506368624,0.5085633264547103,0.12020722912057624,12427.740089763967,9.427686357014881,0.6526904189765759,0.9515652098947669,-1.1027798679649865,False,Argentina
